State,County,Court
Alabama,De Kalb,Henager Municipal Court
Alabama,De Kalb,Ider Municipal Court
Alabama,De Kalb,Mentone Municipal Court
Alabama,De Kalb,Powell Municipal Court
Alabama,De Kalb,Rainsville Municipal Court
Alabama,De Kalb,Sylvania Municipal Court
Alabama,De Kalb,Valley Head Municipal Court
Alabama,Elmore,Elmore Circuit Court
Alabama,Elmore,Elmore County District Court
Alabama,Elmore,Millbrook Municipal Court
Alabama,Elmore,Tallassee Municipal Court
Alabama,Elmore,Wetumpka Municipal Court
Alabama,Escambia,Atmore Municipal Court
Alabama,Escambia,Brewton Municipal Court
Alabama,Escambia,Escambia Circuit Court
Alabama,Escambia,Escambia District Court
Alabama,Etowah,Altoona Municipal Court
Alabama,Etowah,Attalla Municipal Court
Alabama,Etowah,Etowah Circuit Court
Alabama,Etowah,Gadsden Municipal Court
Alabama,Etowah,Glencoe Municipal Court
Alabama,Etowah,Hokes Bluff Municipal Court
Alabama,Etowah,Rainbow City Municipal Court
Alabama,Etowah,Snead Municipal Court
Alabama,Etowah,Southside Municipal Court
Alabama,Fayette,Berry Municipal Court
Alabama,Fayette,Fayette County Circuit Court
Alabama,Fayette,Fayette County District Court
Alabama,Fayette,Fayette Municipal Court
Alabama,Franklin,Franklin County Circuit Court
Alabama,Franklin,Littleville Municipal Court
Alabama,Franklin,Phil Campbell Municipal Court
Alabama,Franklin,Red Bay Municipal Court
Alabama,Geneva,Geneva County Circuit Court
Alabama,Geneva,Geneva County District Court
Alabama,Geneva,Geneva Municipal Court
Alabama,Geneva,Hartford Municipal Court
Alabama,Geneva,Samson Municipal Court
Alabama,Geneva,Slocomb Municipal Court
Alabama,Greene,Eutaw Municipal Court
Alabama,Greene,Green County District Court
Alabama,Greene,Greene County Cirucit Court
Alabama,Hale,Greensboro Municipal Court
Alabama,Hale,Hale County Circuit Court
Alabama,Hale,Hale County District Court
Alabama,Henry,Headland Municipal Court
Alabama,Henry,Henry County Circuit Court
Alabama,Henry,Henry County District Court
Alabama,Houston,Ashford Municipal Court
Alabama,Houston,Dothan Municipal Court
Alabama,Houston,Gordon Municipal Court
Alabama,Houston,Houston County Circiut Court
Alabama,Houston,Houston County District Court
Alabama,Houston,Napier Field Municipal Court
Alabama,Jackson,Bridgeport Municipal Court
Alabama,Jackson,Hollywood Municipal Court
Alabama,Jackson,Jackson County Circuit Court
Alabama,Jackson,Jackson County District Court
Alabama,Jackson,Pisgah Municipal Court
Alabama,Jackson,Scottsboro Municipal Court
Alabama,Jackson,Section Municipal Court
Alabama,Jefferson,Adamsville Municipal Court
Alabama,Jefferson,Argo Municipal Court
Alabama,Jefferson,Bessemer Municipal Court
Alabama,Jefferson,Birmingham Municipal Court
Alabama,Jefferson,Brighton Municipal Court
Alabama,Jefferson,Brookside Municipal Court
Alabama,Jefferson,Dora Municipal Court
Alabama,Jefferson,Fairfield Municipal Court
Alabama,Jefferson,Fultondale Municipal Court
Alabama,Jefferson,Gardendale Municipal Court
Alabama,Jefferson,Graysville Municipal Court
Alabama,Jefferson,Homewood Municipal Court
Alabama,Jefferson,Hoover Municipal Court
Alabama,Jefferson,Hueytown Municipal Court
Alabama,Jefferson,Irondale Municipal Court
Alabama,Jefferson,Jefferson County Circuit Court
Alabama,Jefferson,Jefferson County District Court - Bessemer
Alabama,Jefferson,Jefferson County District Court - Birmingham
Alabama,Jefferson,Kimberly Municipal Court
Alabama,Jefferson,Lakeview Municipal Court
Alabama,Jefferson,Leeds Municipal Court
Alabama,Jefferson,Lipscomb Municipal Court
Alabama,Jefferson,Midfield Municipal Court
Alabama,Jefferson,Morris Municipal Court
Alabama,Jefferson,Mountain Brook Municipal Court
Alabama,Jefferson,Pleasant Grove Municipal Court
Alabama,Jefferson,Tarrant Municipal Court
Alabama,Jefferson,Trussville Municipal Court
Alabama,Jefferson,Vestavia Hills Municipal Court
Alabama,Jefferson,Warrior Municipal Court
Alabama,Lamar,Lamar County Circuit Court
Alabama,Lamar,Lamar County District Court
Alabama,Lauderdale,Killeen Municipal Court
Alabama,Lauderdale,Lauderdale County Circuit Court
Alabama,Lauderdale,Lauderdale County District Court
Alabama,Lauderdale,Rogersville Municipal Court
Alabama,Lawrence,Courtland Municipal Court
Alabama,Lawrence,Hillsboro Municipal Court
Alabama,Lawrence,Lawrence County Circuit Court
Alabama,Lawrence,Lawrence County District Court
Alabama,Lawrence,Moulton Municipal Court
Alabama,Lawrence,North Courtland Municipal Court
Alabama,Lawrence,Town Creek Municipal Court
Alabama,Lee,Lee County Circuit Court
Alabama,Lee,Opelika Municipal Court
Alabama,Limestone,Ardmore Municipal Court
Alabama,Limestone,Athens Municipal Court
Alabama,Limestone,Limestone Circuit Court
Alabama,Limestone,Limestone County District Court
Alabama,Lowndes,Hayneville Municipal Court
Alabama,Lowndes,Lowndes Circuit Court
Alabama,Lowndes,Lowndes County District Court
Alabama,Lowndes,White Hall Municipal Court
Alabama,Macon,Macon County Circuit Court
Alabama,Macon,Macon County District Court
Alabama,Macon,Notasulga Municipal Court
Alabama,Macon,Shorter Municipal Court
Alabama,Macon,Tuskegee Municipal Court
Alabama,Madison,Gurley Municipal Court
Alabama,Madison,Gurley Municipal Court
Alabama,Madison,Huntsville Municipal Court
Alabama,Madison,Huntsville Municipal Court
Alabama,Madison,Madison County Circuit Court
Alabama,Madison,Madison County Circuit Court
Alabama,Madison,Madison County District Court
Alabama,Madison,Madison County District Court
Alabama,Madison,Madison Municipal Court
Alabama,Madison,Madison Municipal Court
Alabama,Madison,New Hope Municipal Court
Alabama,Madison,New Hope Municipal Court
Alabama,Madison,Owens Cross Roads Municipal Court
Alabama,Madison,Owens Cross Roads Municipal Court
Alabama,Marengo,Demopolis Municipal Court
Alabama,Marengo,Linden Municipal Court
Alabama,Marengo,Marengo County District Court
Alabama,Marengo,Morengo County Circuit Court
Alabama,Marshall,Albertville Municipal Court
Alabama,Marshall,Arab Municipal Court
Alabama,Marshall,Boaz Municipal Court
Alabama,Marshall,Grant Municipal Court
Alabama,Marshall,Guntersville Municipal Court
Alabama,Marshall,Marshall County Circuit Court
Alabama,Marshall,Mountainboro Municipal Court
Alabama,Marshall,Sardis City Municipal Court
Alabama,Mobile,Bayou La Batre Municipal Court
Alabama,Mobile,Chickasaw Municipal Court
Alabama,Mobile,Citronelle Municipal Court
Alabama,Mobile,Creola Municipal Court
Alabama,Mobile,Dauphin Island Municipal Court
Alabama,Mobile,Mobile County Circuit Court
Alabama,Mobile,Mobile County District Court
Alabama,Mobile,Mobile Municipal Court
Alabama,Mobile,Prichard Municipal Court
Alabama,Mobile,Saraland Municipal Court
Alabama,Mobile,Satsuma Municipal Court
Alabama,Monroe,Excel Municipal Court
Alabama,Monroe,Monroe County Circuit Court
Alabama,Monroe,Monroe County District Court
Alabama,Monroe,Monroeville Municipal Court
Alabama,Montgomery,Montgomery County Circuit Court
Alabama,Montgomery,Montgomery County District Court
Alabama,Montgomery,Montgomery Municipal Court
Alabama,Morgan,Decatur Municipal Court
Alabama,Morgan,Falkville Municipal Court
Alabama,Morgan,Hartselle Municipal Court
Alabama,Morgan,Morgan County Circuit Court
Alabama,Morgan,Morgan County District Court
Alabama,Morgan,Priceville Municipal Court
Alabama,Morgan,Somerville Municipal Court
Alabama,Morgan,Trinity Municipal Court
Alabama,Perry,Marion Municipal Court
Alabama,Perry,Perry County Circuit Court
Alabama,Perry,Perry County District Court
Alabama,Pickens,Aliceville Municipal Court
Alabama,Pickens,Carrollton Municipal Court
Alabama,Pickens,Gordo Municipal Court
Alabama,Pickens,Pickens County Circuit Court
Alabama,Pickens,Pickens County District Court
Alabama,Pickens,Reform Municipal Court
Alabama,Pike,Brudidge Municipal Court
Alabama,Pike,Pike County Circuit Court
Alabama,Pike,Pike County District Court
Alabama,Pike,Troy Municipal Court
Alabama,Randolph,Randolph County District Court
Alabama,Randolph,Randoph County Circuit Court
Alabama,Randolph,Roanoke Municipal Court
Alabama,Randolph,Wadley Municipal Court
Alabama,Randolph,Wedowee Municipal Court
Alabama,Russell,Hurtsboro Municipal Court
Alabama,Russell,Phenix City Municipal Court
Alabama,Russell,Russell County Circuit Court
Alabama,Russell,Russell County District Court
Alabama,Shelby,Alabaster Municipal Court
Alabama,Shelby,Calera Municipal Court
Alabama,Shelby,Columbiana Municipal Court
Alabama,Shelby,Harpersville Municipal Court
Alabama,Shelby,Helena Municipal Court
Alabama,Shelby,Montevallo Municipal Court
Alabama,Shelby,Pelham Municipal Court
Alabama,Shelby,Shelby County Circuit Court
Alabama,Shelby,Shelby County District Court
Alabama,Shelby,Vincent Municipal Court
Alabama,Shelby,Wilsonville Municipal Court
Alabama,Shelby,Wilton Municipal Court
Alabama,St. Clair,Ashville Municipal Court
Alabama,St. Clair,Branchville Municipal Court
Alabama,St. Clair,Margaret Municipal Court
Alabama,St. Clair,Moody Municipal Court
Alabama,St. Clair,Odenville Municipal Court
Alabama,St. Clair,Pell City Municipal Court
Alabama,St. Clair,Ragland Municipal Court
Alabama,St. Clair,Riverside Municipal Court
Alabama,St. Clair,Springville Municipal Court
Alabama,St. Clair,St. Clair County Circuit Court
Alabama,St. Clair,St. Clair County District Court - Ashville
Alabama,St. Clair,St. Clair County District Court - Pell City
Alabama,St. Clair,Steele Municipal Court
Alabama,Sumter,Livingston Municipal Court
Alabama,Sumter,Sumter County Circuit Court
Alabama,Sumter,Sumter County District Court
Alabama,Sumter,York Municipal Court
Alabama,Talladega,Bon Air Municipal Court
Alabama,Talladega,Childersburg Municipal Court
Alabama,Talladega,Lincoln Municipal Court
Alabama,Talladega,Sylacauga Municipal Court
Alabama,Talladega,Talladega County Circuit Court
Alabama,Talladega,Talladega County District Court - Sylacauga
Alabama,Talladega,Talladega County District Court - Talladega
Alabama,Talladega,Talladega Municipal Court
Alabama,Wilcox,Camden Municipal Court
Alabama,Wilcox,Pine Hille Municipal Court
Alabama,Wilcox,Wilcox County Circuit Court
Alabama,Wilcox,Wilcox County District Court
Alabama,Winston,Addison Municipal Court
Alabama,Winston,Arley Municipal Court
Alabama,Winston,Double Springs Municipal Court
Alabama,Winston,Haleyville Municipal Court
Alabama,Winston,Winston County Circuit Court
Alabama,Winston,Winston County District Court
Alaska,Alaska,Angoon
Alaska,Alaska,Barrow
Alaska,Alaska,Bethel
Alaska,Alaska,Chevak
Alaska,Alaska,Craig
Alaska,Alaska,Delta Junction
Alaska,Alaska,Fairbanks
Alaska,Alaska,Galena
Alaska,Alaska,Glennallen
Alaska,Alaska,Kake
Alaska,Alaska,Ketchikan
Alaska,Alaska,Kobuk
Alaska,Alaska,Kodiak
Alaska,Alaska,Naknek
Alaska,Alaska,Noorvik
Alaska,Alaska,North Slope Borough
Alaska,Alaska,Palmer
Alaska,Alaska,Pelican
Alaska,Alaska,Quinhagak
Alaska,Alaska,Seward
Alaska,Alaska,Valdez
Alaska,Alaska,Ambler
Alaska,Alaska,Anchorage
Alaska,Alaska,Aniak
Alaska,Alaska,Cordova
Alaska,Alaska,Dillingham
Alaska,Alaska,Emmonak
Alaska,Alaska,Fort Yukon
Alaska,Alaska,Gambell
Alaska,Alaska,Haines
Alaska,Alaska,Healy
Alaska,Alaska,Homer
Alaska,Alaska,Hoonah
Alaska,Alaska,Juneau
Alaska,Alaska,Kenai
Alaska,Alaska,Kiana
Alaska,Alaska,Kobuk
Alaska,Alaska,Kotzebue
Alaska,Alaska,Mcgrath
Alaska,Alaska,Nenana
Alaska,Alaska,Nome
Alaska,Alaska,North Star Borough
Alaska,Alaska,Northwest Arctic Borough
Alaska,Alaska,Petersburg
Alaska,Alaska,Point Hope
Alaska,Alaska,Sand Point
Alaska,Alaska,Savoonga
Alaska,Alaska,Selawick
Alaska,Alaska,Shungnak
Alaska,Alaska,Sitka
Alaska,Alaska,St. Mary's
Alaska,Alaska,St. Paul Island
Alaska,Alaska,Tanana
Alaska,Alaska,Tok
Alaska,Alaska,Unalakleet
Alaska,Alaska,Unalaska
Alaska,Alaska,Wrangell
Alaska,Alaska,Yakutat
Arizona,Apache County,St. Johns Municipal Court #142
Arizona,Apache County,Chinle Justice Court
Arizona,Apache County,Eagar City Court
Arizona,Apache County,Eagar Magistrate
Arizona,Apache County,Round Valley Justice Court
Arizona,Apache County,Springerville City Court
Arizona,Apache County,St. Johns Justice Court
Arizona,Cochise County,Benson Justice of the Peace #3
Arizona,Cochise County,Douglas Municipal Court
Arizona,Cochise County,Benson Justice Court
Arizona,Cochise County,Bisbee Justice Court
Arizona,Cochise County,Bowie Justice Court
Arizona,Cochise County,Cochise Co. SUP/JUV
Arizona,Cochise County,Douglas Justice of the Peace #2
Arizona,Cochise County,Huachuca City Municipal Court
Arizona,Cochise County,Sierra Vista Justice Court
Arizona,Cochise County,Sierra Vista Municipal
Arizona,Cochise County,Tombstone Municipal Court
Arizona,Cochise County,Willcox Justice Of The Peace #4
Arizona,Cochise County,Willcox Municipal Court
Arizona,Coconino County,Flagstaff City Court
Arizona,Coconino County,Flagstaff Justice Court
Arizona,Coconino County,Page Justice Court
Arizona,Coconino County,Coconino Court SUP/JUV Court
Arizona,Coconino County,Fredonia Justice of the Peace
Arizona,Coconino County,Fredonia Municipal Court
Arizona,Coconino County,Page Municipal Court
Arizona,Coconino County,Williams Justice Court
Arizona,Gila County,Gila County SUP/JUV Court
Arizona,Gila County,Globe Regional Justice Court
Arizona,Gila County,Miami Magistrate Court
Arizona,Gila County,Payson Justice of the Peace
Arizona,Gila County,Payson Magistrate
Arizona,Gila County,Star Valley Magistrate
Arizona,Graham County,Clifton Justice of the Peace
Arizona,Graham County,Safford City Court
Arizona,Graham County,Thatcher Minicipal Court
Arizona,Maricopa County,Downtown Justice Court
Arizona,Maricopa County,Dreamy Draw Justice Court
Arizona,Maricopa County,Encanto Justice Court
Arizona,Maricopa County,Gilbert Municipal Court
Arizona,Maricopa County,Hassayampa Justice Court
Arizona,Maricopa County,Kyrene Justice Court
Arizona,Maricopa County,Lake Pleasant Justice Court
Arizona,Maricopa County,Mesa Municipal Court
Arizona,Maricopa County,North Mesa Justice Court
Arizona,Maricopa County,North Valley Justice Court
Arizona,Maricopa County,Phoenix Municipal Court
Arizona,Maricopa County,University Lakes Justice Court
Arizona,Maricopa County,Youngtown City Court
Arizona,Maricopa County,Agua Fria Justice Court
Arizona,Maricopa County,Arcadia Biltmore Justice Court
Arizona,Maricopa County,ARROWHEAD Justice of the Peace
Arizona,Maricopa County,Avondale City Court
Arizona,Maricopa County,Buckeye City Court
Arizona,Maricopa County,Chandler Municipal Court
Arizona,Maricopa County,Desert Ridge Justice Court
Arizona,Maricopa County,East Mesa Justice Court
Arizona,Maricopa County,El Mirage Municipal
Arizona,Maricopa County,Estrella Mountain Justice Court
Arizona,Maricopa County,Fountain Hills Municipal Court
Arizona,Maricopa County,Gila Bend City Court
Arizona,Maricopa County,Glendale City Court
Arizona,Maricopa County,Goodyear Municipal Court
Arizona,Maricopa County,Guadalupe Municipal Court
Arizona,Maricopa County,Ironwood Justice Court
Arizona,Maricopa County,Litchfield Park Municipal Court
Arizona,Maricopa County,Manistee Justice Court
Arizona,Maricopa County,Maricopa Municipal Court
Arizona,Maricopa County,Maricopa/Standfield Justice of the peace
Arizona,Maricopa County,Maryvale Justice Court
Arizona,Maricopa County,McDowell Mountain Justice Court
Arizona,Maricopa County,Moon Valley Justice Court
Arizona,Maricopa County,Paradise Valley Municipal Court
Arizona,Maricopa County,Peoria Municipal Court
Arizona,Maricopa County,Queen Creek Municipal Court
Arizona,Maricopa County,San Marcos Justice Court
Arizona,Maricopa County,San Tan Justice Court
Arizona,Maricopa County,Scottsdale City Court
Arizona,Maricopa County,South Mountain Justice Court
Arizona,Maricopa County,Surprise City Court
Arizona,Maricopa County,Tempe Municipal Court
Arizona,Maricopa County,Tolleson City Court
Arizona,Maricopa County,West McDowell Justice Court
Arizona,Maricopa County,West Mesa Justice Court
Arizona,Maricopa County,Wickenburg City Court
Arizona,Navajo County,Holbrook Justice Court
Arizona,Navajo County,Kayenta Justice Court
Arizona,Navajo County,Lakeside/Pinetop City Court
Arizona,Navajo County,Show Low Justice of the Peace #5
Arizona,Navajo County,Holbrook Municipal Court
Arizona,Navajo County,Show Low Municipal Court
Arizona,Navajo County,Snowflake Justice of the Peace #3
Arizona,Navajo County,Winslow City Court
Arizona,Navajo County,Winslow Justice Court
Arizona,Pima County,Ajo Justice Court
Arizona,Pima County,Pima Justice
Arizona,Pima County,Tucson Municipal Court
Arizona,Pima County,Marana City Court
Arizona,Pima County,Oro Valley City Court
Arizona,Pima County,Pima County Consolidated Justice of the Peace
Arizona,Pima County,Pima Municipal
Arizona,Pima County,Sahuarita Municipal Court
Arizona,Pima County,South Tucson Municipal Court
Arizona,Pinal County,Casa Grande Municipal Court
Arizona,Pinal County,Coolidge Municipal Court
Arizona,Pinal County,Eloy Justice of the Peace #3
Arizona,Pinal County,Eloy Municipal Court
Arizona,Pinal County,Florence Municipal Court
Arizona,Pinal County,Apache Junction Municipal Court
Arizona,Pinal County,Casa Grande Justice Court
Arizona,Pinal County,Casa Grande Justice of the Peace #2
Arizona,Pinal County,Kearny Municipal Court
Arizona,Pinal County,Oracle Justice Court
Arizona,Pinal County,Superior Magistrate
Arizona,Pinal County,Superior/Kearney Justice Court
Arizona,Pinal County,Superior/Kearny Justice of the Peace #6
Arizona,Santa Cruz County,East Santa Cruz Justice Court
Arizona,Santa Cruz County,Nogales Justice Court
Arizona,Santa Cruz County,Nogales City Court
Arizona,Santa Cruz County,Patagonia City Court
Arizona,Yavapai County,Bagdad Justice Court
Arizona,Yavapai County,Camp Verde City Court
Arizona,Yavapai County,Prescott Justice Court
Arizona,Yavapai County,Prescott Municipal Court
Arizona,Yavapai County,Sedona City Court
Arizona,Yavapai County,Seligman Justice Court
Arizona,Yavapai County,Verde Valley JC
Arizona,Yavapai County,Yarnell Justice Court
Arizona,Yavapai County,Clarkdale Municipal Court
Arizona,Yavapai County,Cottonwood Municipal Court
Arizona,Yavapai County,Dewey-Humboldt Magistrate
Arizona,Yavapai County,Mayer Justice Court
Arizona,Yavapai County,Prescott Valley City Court
Arizona,Yuma County,Somerton Municipal Court
Arizona,Yuma County,Wellton Municipal Court
Arizona,Yuma County,Yuma Justice Court
Arizona,Yuma County,San Luis Municipal Court
Arizona,Yuma County,Somerton Justice Court
Arizona,Yuma County,Wellton Justice Court
Arizona,Yuma County,Yuma City Court
California,Alameda County,Fremont Traffic Court - 01430
California,Alameda County,Oakland Traffic Court - 01440
California,Alpine County,Alpine Courthouse (Juvenile Court) - Markleeville - 02200
California,Alpine County,Alpine Courthouse - Markleeville - 02100
California,Amador County,Amador Courthouse - Jackson - 03610
California,Butte County,Chico Court - 04100
California,Butte County,Gridley Court - 04100
California,Butte County,Oroville Court - 04100
California,Butte County,Paradise Court - 04100
California,Calaveras County,Calaveras Court - San Andreas - 05100
California,Colusa County,Colusa County Court - Colusa - 06620
California,Contra Costa County,Concord Courthouse - 07410
California,Contra Costa County,Martinez Courthouse - 07460
California,Contra Costa County,Pittsburg Courthouse - 07465
California,Contra Costa County,Richmond Courthouse - 07460
California,Contra Costa County,Walnut Creek Courthouse - 07480
California,Del Norte County,Del Norte Courthouse - Crescent City - 08100
California,El Dorado County,Placerville Branch - 09670
California,El Dorado County,South Lake Tahoe Court - 09660
California,Fresno County,Clovis Branch - 10440
California,Fresno County,Fresno Branch - 10440
California,Fresno County,Sanger Branch - 10440
California,Fresno County,Selma Branch - 10440
California,Glenn County,Orland Branch - 11100
California,Glenn County,Willows Branch - 11100
California,Humboldt County,Eureka Courthouse - 12100
California,Humboldt County,Garderville Courthouse - 12100
California,Humboldt County,KlamathTrinity Courthouse - 12100
California,Imperial County,Brawley Branch - 13420
California,Imperial County,Calexico Branch - 13430
California,Imperial County,El Centro Branch - 13440
California,Imperial County,El Centro Juvenile Branch - 13100
California,Imperial County,Winterhaven Branch - 13450
California,Inyo County,Inyo County Dept 3 - Independence - 14660
California,Inyo County,Inyo County Dept 4 - Bishop - 14660
California,Kern County,Arvin Lamont (South Kern) -15410
California,Kern County,Delano Mcfarland (North Kern) - 15430
California,Kern County,Kern River - Lake Isabella - 15435
California,Kern County,Metro Division - Bakersfield - 15420
California,Kern County,Mojave / East (East Kern) - 15460
California,Kern County,Ridgecrest (East Kern) - 15470
California,Kern County,Shafter Wasco (North Kern) - 15445
California,Kern County,Taft Maricopa (South Kern) - 15440
California,Kings County,Avenal Division - 16610
California,Kings County,Corcoran Division - 16620
California,Kings County,Kings County Juvenile Division - Hanford - 16420
California,Kings County,Kings County Superior Court - Hanford - 16420
California,Kings County,Lemoore Division - 16660
California,Lake County,Clearlake Traffic Division - 17610
California,Lake County,LakeportLakeport Traffic Division - 17100
California,Lassen County,Lassen County Superior Court - Susanville - 18675
California,Los Angeles County,(Michael D. Antonovich) Antelope Valley Court - 19463
California,Los Angeles County,Airport LAX Court - 19463
California,Los Angeles County,Alhambra Court - 19463
California,Los Angeles County,Bellflower Court ( Los Cerritos ) - 19463
California,Los Angeles County,Beverly Hills Court - 19463
California,Los Angeles County,Burbank Court - 19463
California,Los Angeles County,Catalina Court - 19463
California,Los Angeles County,Chatsworth Court - 19463
California,Los Angeles County,Compton Court - 19463
California,Los Angeles County,Culver City Court - 19463
California,Los Angeles County,Downey Court - 19463
California,Los Angeles County,East Los Angeles Court - 19463
California,Los Angeles County,El Monte Court ( Rio Hondo ) - 19463
California,Los Angeles County,Federal District Court - 19463
California,Los Angeles County,Glendale Court - 19463
California,Los Angeles County,Huntington Park Court ( Southgate ) - 19463
California,Los Angeles County,Inglewood Court - 19463
California,Los Angeles County,Long Beach Court - 19463
California,Los Angeles County,Malibu Court - 19463
California,Los Angeles County,Metropolitan Court (MET) - 19463
California,Los Angeles County,Monrovia Court ( Santa Anita ) - 19463
California,Los Angeles County,Pasadena Court - 19463
California,Los Angeles County,Pomona Court - 19463
California,Los Angeles County,San Fernando Court - 19463
California,Los Angeles County,San Pedro Court - 19463
California,Los Angeles County,Santa Clarita Court ( Newhall ) - 19463
California,Los Angeles County,Santa Monica Court - 19463
California,Los Angeles County,Torrance Court ( Southbay ) - 19463
California,Los Angeles County,Van Nuys Court - 19463
California,Los Angeles County,West Covina Court ( Citrus ) - 19463
